reference	hypothesis
دریا وادی میں پرامن طریقے سے بہتا ہے۔	دریا وادی میں پرامن طریقے سے بہتا ہے۔
وہ باغ میں آہستہ آہستہ چلی۔	وہ باغ میں آہستہ آہستہ چلی۔
لوگ بہت خوشی سے تہوار مناتے ہیں۔	لوگ بہت خوشی سے تہوار مناتے ہیں۔
بزرگوں کا احترام ایک اہم قدر ہے۔	بزرگوں کا احترام ایک اہم قدر ہے۔
کرکٹ ایک مقبول کھیل ہے۔	کرکٹ ایک مقبول کھیل ہے۔
اسمارٹ فونوں نے لوگوں کے رابطے کے طریقے کو تبدیل کر دیا ہے۔	اسمارٹ فونوں نے لوگوں کے رابطے کے طریقے کو تبدیل کر دیا ہے۔
مہمانوں کو مہمان نوازی کی نشانی کے طور پر چائے پیش کی جاتی ہے۔	مہمانوں کو مہمان نوازی کی نشانی کے طور پر چائے پیش کی جاتی ہے۔
بس دیر سے پہنچی۔	بس دیر سے پہنچی۔
تعلیم مواقع کے دروازے کھولتی ہے۔	تعلیم مواقع کے دروازے کھولتی ہے۔
تازہ پھل کھانا ضروری وٹامن فراہم کرتا ہے۔	تازہ پھل کھانا ضروری وٹامن فراہم کرتا ہے۔
خاندان کے ممبر مشکل وقتوں میں ایک دوسرے کی مدد کرتے ہیں۔	خاندان کے ممبر مشکل وقتوں میں ایک دوسرے کی مدد کرتے ہیں۔
بچے بہترین سیکھتے ہیں جب وہ دلچسپی رکھتے ہیں۔	بچے بہترین سیکھتے ہیں جب وہ دلچسپی رکھتے ہیں۔
کرکٹ ایک مقبول کھیل ہے۔	کرکٹ ایک مقبول کھیل ہے۔
ڈاکٹر زیادہ پانی پینے کی صلاح دیتے ہیں۔	ڈاکٹر زیادہ پانی پینے کی صلاح دیتے ہیں۔
ہم نے پرانے مندر کا دورہ کرنے کا فیصلہ کیا۔	ہم نے پرانے مندر کا دورہ کرنے کا فیصلہ کیا۔
بزرگ لوگ حکمت اور کہانیاں بانٹتے ہیں۔	بزرگ لوگ حکمت اور کہانیاں بانٹتے ہیں۔
ڈاکٹر زیادہ پانی پینے کی صلاح دیتے ہیں۔	ڈاکٹر زیادہ پانی پینے کی صلاح دیتے ہیں۔
ڈیجیٹل ادائیگیوں نے معاملات تیز کر دیے ہیں۔	ڈیجیٹل ادائیگیوں نے معاملات تیز کر دیے ہیں۔
مل کر کھانا پکانا خاندان کے ممبروں کو قریب لاتا ہے۔	مل کر کھانا پکانا خاندان کے ممبروں کو قریب لاتا ہے۔
ریل کے سفر مناظر کے نظارے پیش کرتے ہیں۔	ریل کے سفر مناظر کے نظارے پیش کرتے ہیں۔
لوگ مذہبی مقامات دیکھنے کے لیے لمبی دوریاں طے کرتے ہیں۔	لوگ مذہبی مقامات دیکھنے کے لیے لمبی دوریاں طے کرتے ہیں۔
استاد نوجوان ذہنوں کو شکل دیتے ہیں۔	استاد نوجوان ذہنوں کو شکل دیتے ہیں۔
سیاحت تاریخی مقامات والے علاقوں میں آمدنی لاتی ہے۔	سیاحت تاریخی مقامات والے علاقوں میں آمدنی لاتی ہے۔
منظم ورزش اچھی صحت برقرار رکھنے میں مدد کرتی ہے۔	منظم ورزش اچھی صحت برقرار رکھنے میں مدد کرتی ہے۔
اسکول نے سائنس میلہ منظم کیا۔	اسکول نے سائنس میلہ منظم کیا۔
کسانوں نے پانی والے کھیتوں میں چاول بوئے۔	کسانوں نے پانی والے کھیتوں میں چاول بوئے۔
کہانی سنانا ثقافت اور علم کو محفوظ رکھتا ہے۔	کہانی سنانا ثقافت اور علم کو محفوظ رکھتا ہے۔
جنگل بہت سے جنگلی جانوروں کا گھر ہے۔	جنگل بہت سے جنگلی جانوروں کا گھر ہے۔
شادی کی تقریب تین دن تک چلی۔	شادی کی تقریب تین دن تک چلی۔
دستی کاریاں فنکارانہ روایات دکھاتی ہیں۔	دستی کاریاں فنکارانہ روایات دکھاتی ہیں۔
ریل کے سفر مناظر کے نظارے پیش کرتے ہیں۔	ریل کے سفر مناظر کے نظارے پیش کرتے ہیں۔
بچے بہترین سیکھتے ہیں جب وہ دلچسپی رکھتے ہیں۔	بچے بہترین سیکھتے ہیں جب وہ دلچسپی رکھتے ہیں۔
روایتی موسیقی ہماری وراثت کے لیے اہم ہے۔	روایتی موسیقی ہماری وراثت کے لیے اہم ہے۔
استاد نے صبر سے سبق سمجھایا۔	استاد نے صبر سے سبق سمجھایا۔
دریا وادی میں پرامن طریقے سے بہتا ہے۔	دریا وادی میں پرامن طریقے سے بہتا ہے۔
ہم نے پرانے مندر کا دورہ کرنے کا فیصلہ کیا۔	ہم نے پرانے مندر کا دورہ کرنے کا فیصلہ کیا۔
بچے سڑک پر کرکٹ کھیل رہے تھے۔	بچے سڑک پر کرکٹ کھیل رہے تھے۔
آن لائن خریداری مقبول ہو گئی ہے۔	آن لائن خریداری مقبول ہو گئی ہے۔
دستی کاریاں فنکارانہ روایات دکھاتی ہیں۔	دستی کاریاں فنکارانہ روایات دکھاتی ہیں۔
بزرگوں کا احترام ایک اہم قدر ہے۔	بزرگوں کا احترام ایک اہم قدر ہے۔
وہ باغ میں آہستہ آہستہ چلی۔	وہ باغ میں آہستہ آہستہ چلی۔
استاد نوجوان ذہنوں کو شکل دیتے ہیں۔	استاد نوجوان ذہنوں کو شکل دیتے ہیں۔
اس نے خاندان کے لیے مزیدار بریانی پکائی۔	اس نے خاندان کے لیے مزیدار بریانی پکائی۔
اسکول نے سائنس میلہ منظم کیا۔	اسکول نے سائنس میلہ منظم کیا۔
لوگ مذہبی مقامات دیکھنے کے لیے لمبی دوریاں طے کرتے ہیں۔	لوگ مذہبی مقامات دیکھنے کے لیے لمبی دوریاں طے کرتے ہیں۔
ڈاکٹر زیادہ پانی پینے کی صلاح دیتے ہیں۔	ڈاکٹر زیادہ پانی پینے کی صلاح دیتے ہیں۔
کرکٹ ایک مقبول کھیل ہے۔	کرکٹ ایک مقبول کھیل ہے۔
تعلیم مواقع کے دروازے کھولتی ہے۔	تعلیم مواقع کے دروازے کھولتی ہے۔
دریا وادی میں پرامن طریقے سے بہتا ہے۔	دریا وادی میں پرامن طریقے سے بہتا ہے۔
کرکٹ ایک مقبول کھیل ہے۔	کرکٹ ایک مقبول کھیل ہے۔
خاندان کے ممبر مشکل وقتوں میں ایک دوسرے کی مدد کرتے ہیں۔	خاندان کے ممبر مشکل وقتوں میں ایک دوسرے کی مدد کرتے ہیں۔
مل کر کھانا پکانا خاندان کے ممبروں کو قریب لاتا ہے۔	مل کر کھانا پکانا خاندان کے ممبروں کو قریب لاتا ہے۔
مہمانوں کو مہمان نوازی کی نشانی کے طور پر چائے پیش کی جاتی ہے۔	مہمانوں کو مہمان نوازی کی نشانی کے طور پر چائے پیش کی جاتی ہے۔
ڈاکٹر زیادہ پانی پینے کی صلاح دیتے ہیں۔	ڈاکٹر زیادہ پانی پینے کی صلاح دیتے ہیں۔
مصالحے روایتی کھانوں میں ذائقہ بڑھاتے ہیں۔	مصالحے روایتی کھانوں میں ذائقہ بڑھاتے ہیں۔
صاف رابطہ غلط فہمیوں کو روکتا ہے۔	صاف رابطہ غلط فہمیوں کو روکتا ہے۔
والدین بچوں کے لیے اپنی ضرورتیں قربان کرتے ہیں۔	والدین بچوں کے لیے اپنی ضرورتیں قربان کرتے ہیں۔
اسکول نے سائنس میلہ منظم کیا۔	اسکول نے سائنس میلہ منظم کیا۔
منظم ورزش اچھی صحت برقرار رکھنے میں مدد کرتی ہے۔	منظم ورزش اچھی صحت برقرار رکھنے میں مدد کرتی ہے۔
بچے بہترین سیکھتے ہیں جب وہ دلچسپی رکھتے ہیں۔	بچے بہترین سیکھتے ہیں جب وہ دلچسپی رکھتے ہیں۔
زراعت آمدنی کا بنیادی ذریعہ رہتی ہے۔	زراعت آمدنی کا بنیادی ذریعہ رہتی ہے۔
بازار لوگوں سے بھرا ہوا تھا۔	بازار لوگوں سے بھرا ہوا تھا۔
بچے بہترین سیکھتے ہیں جب وہ دلچسپی رکھتے ہیں۔	بچے بہترین سیکھتے ہیں جب وہ دلچسپی رکھتے ہیں۔
بازار لوگوں سے بھرا ہوا تھا۔	بازار لوگوں سے بھرا ہوا تھا۔
دریا وادی میں پرامن طریقے سے بہتا ہے۔	دریا وادی میں پرامن طریقے سے بہتا ہے۔
خاندان کے ممبر مشکل وقتوں میں ایک دوسرے کی مدد کرتے ہیں۔	خاندان کے ممبر مشکل وقتوں میں ایک دوسرے کی مدد کرتے ہیں۔
اسکول نے سائنس میلہ منظم کیا۔	اسکول نے سائنس میلہ منظم کیا۔
انٹرنیٹ براعظموں میں لوگوں کو جوڑتا ہے۔	انٹرنیٹ براعظموں میں لوگوں کو جوڑتا ہے۔
میری دادی نے مجھے کہانیاں سنائیں۔	میری دادی نے مجھے کہانیاں سنائیں۔
اسکول نے سائنس میلہ منظم کیا۔	اسکول نے سائنس میلہ منظم کیا۔
تعلیم مواقع کے دروازے کھولتی ہے۔	تعلیم مواقع کے دروازے کھولتی ہے۔
نئی زبان سیکھنے کے لیے مشق کی ضرورت ہے۔	نئی زبان سیکھنے کے لیے مشق کی ضرورت ہے۔
میں آج صبح جلدی اٹھا۔	میں آج صبح جلدی اٹھا۔
روایتی موسیقی ہماری وراثت کے لیے اہم ہے۔	روایتی موسیقی ہماری وراثت کے لیے اہم ہے۔
بزرگ لوگ حکمت اور کہانیاں بانٹتے ہیں۔	بزرگ لوگ حکمت اور کہانیاں بانٹتے ہیں۔
کتابیں پڑھنا ذخیرہ الفاظ بہتر بناتا ہے۔	کتابیں پڑھنا ذخیرہ الفاظ بہتر بناتا ہے۔
ڈیجیٹل ادائیگیوں نے معاملات تیز کر دیے ہیں۔	ڈیجیٹل ادائیگیوں نے معاملات تیز کر دیے ہیں۔
کتابیں پڑھنا ذخیرہ الفاظ بہتر بناتا ہے۔	کتابیں پڑھنا ذخیرہ الفاظ بہتر بناتا ہے۔
اسکول نے سائنس میلہ منظم کیا۔	اسکول نے سائنس میلہ منظم کیا۔
ہم نے پرانے مندر کا دورہ کرنے کا فیصلہ کیا۔	ہم نے پرانے مندر کا دورہ کرنے کا فیصلہ کیا۔
اسمارٹ فونوں نے لوگوں کے رابطے کے طریقے کو تبدیل کر دیا ہے۔	اسمارٹ فونوں نے لوگوں کے رابطے کے طریقے کو تبدیل کر دیا ہے۔
شہروں میں آلودگی ایک سنجیدہ مسئلہ بن گئی ہے۔	شہروں میں آلودگی ایک سنجیدہ مسئلہ بن گئی ہے۔
ڈاکٹر مریضوں کا علاج کرنے کے لیے لمبے گھنٹے کام کرتے ہیں۔	ڈاکٹر مریضوں کا علاج کرنے کے لیے لمبے گھنٹے کام کرتے ہیں۔
نئی زبان سیکھنے کے لیے مشق کی ضرورت ہے۔	نئی زبان سیکھنے کے لیے مشق کی ضرورت ہے۔
اسکول نے سائنس میلہ منظم کیا۔	اسکول نے سائنس میلہ منظم کیا۔
مہمانوں کو مہمان نوازی کی نشانی کے طور پر چائے پیش کی جاتی ہے۔	مہمانوں کو مہمان نوازی کی نشانی کے طور پر چائے پیش کی جاتی ہے۔
جنگل بہت سے جنگلی جانوروں کا گھر ہے۔	جنگل بہت سے جنگلی جانوروں کا گھر ہے۔
استاد نے صبر سے سبق سمجھایا۔	استاد نے صبر سے سبق سمجھایا۔
نئی زبان سیکھنے کے لیے مشق کی ضرورت ہے۔	نئی زبان سیکھنے کے لیے مشق کی ضرورت ہے۔
بزرگاں دا احترام ہک اہم قدر اے۔	بزرگاں دا احترام ہک اہم قدر اے۔
من اڄ صبح جلدی اٹھیا۔	من اڄ صبح جلدی اٹھیا۔
استاد نوجوان ذہناں کوں شکل دیندے نیں۔	استاد نوجوان ذہناں کوں شکل دیندے نیں۔
بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔	بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔
زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔
اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔	اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔
ڈاکٹر مریضاں دا علاج کرن کیتے لمبیاں گھڑیاں کم کریندے نیں۔	ڈاکٹر مریضاں دا علاج کرن کیتے لمبیاں گھڑیاں کم کریندے نیں۔
کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔
پروفیسر تختے تے مساوات لکھیاں۔	پروفیسر تختے تے مساوات لکھیاں۔
کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔
